Charge Amount,Bank,Place of Business
$634.25,Bank of America,"Microsoft\n Store"
$635.25,Chase,"Jack in\n the box"
$636.25,Wells Fargo,"Mcdon\nalds"
$637.25,Bank of America,"Wen\ndys"
$638.25,Chase,"Apple\n Store"
$639.25,Wells Fargo,"Microsoft\n Store"
$640.25,Bank of America,"Jack in\n the box"
$641.25,Chase,"Mcdon\nalds"
$642.25,Wells Fargo,"Wen\ndys"
$643.25,Bank of America,"Apple\n Store"
$644.25,Chase,"Microsoft\n Store"
$645.25,Wells Fargo,"Jack in\n the box"
$646.25,Bank of America,"Mcdon\nalds"
$647.25,Chase,"Wen\ndys"
$648.25,Wells Fargo,"Apple\n Store"
$649.25,Bank of America,"Microsoft\n Store"
$650.25,Chase,"Jack in\n the box"
$651.25,Wells Fargo,"Mcdon\nalds"
$652.25,Bank of America,"Wen\ndys"
$653.25,Chase,"Apple\n Store"
$654.25,Wells Fargo,"Microsoft\n Store"
$655.25,Bank of America,"Jack in\n the box"
$656.25,Chase,"Mcdon\nalds"
$657.25,Wells Fargo,"Wen\ndys"
$658.25,Bank of America,"Apple\n Store"
$659.25,Chase,"Microsoft\n Store"
$660.25,Wells Fargo,"Jack in\n the box"
$661.25,Bank of America,"Mcdon\nalds"
$662.25,Chase,"Wen\ndys"
$663.25,Wells Fargo,"Apple\n Store"
$664.25,Bank of America,"Microsoft\n Store"
$665.25,Chase,"Jack in\n the box"
$666.25,Wells Fargo,"Mcdon\nalds"
$667.25,Bank of America,"Wen\ndys"
$668.25,Chase,"Apple\n Store"
$669.25,Wells Fargo,"Microsoft\n Store"
$670.25,Bank of America,"Jack in\n the box"
$671.25,Chase,"Mcdon\nalds"
$672.25,Wells Fargo,"Wen\ndys"
$673.25,Bank of America,"Apple\n Store"
$674.25,Chase,"Microsoft\n Store"
$675.25,Wells Fargo,"Jack in\n the box"
$676.25,Bank of America,"Mcdon\nalds"
$677.25,Chase,"Wen\ndys"
$678.25,Wells Fargo,"Apple\n Store"
$679.25,Bank of America,"Microsoft\n Store"
$680.25,Chase,"Jack in\n the box"
$681.25,Wells Fargo,"Mcdon\nalds"
$682.25,Bank of America,"Wen\ndys"
$683.25,Chase,"Apple\n Store"
$684.25,Wells Fargo,"Microsoft\n Store"
$685.25,Bank of America,"Jack in\n the box"
$686.25,Chase,"Mcdon\nalds"
$687.25,Wells Fargo,"Wen\ndys"
$688.25,Bank of America,"Apple\n Store"
$689.25,Chase,"Microsoft\n Store"
$690.25,Wells Fargo,"Jack in\n the box"
$691.25,Bank of America,"Mcdon\nalds"
$692.25,Chase,"Wen\ndys"
$693.25,Wells Fargo,"Apple\n Store"
$694.25,Bank of America,"Microsoft\n Store"
$695.25,Chase,"Jack in\n the box"
$696.25,Wells Fargo,"Mcdon\nalds"
$697.25,Bank of America,"Wen\ndys"
$698.25,Chase,"Apple\n Store"
$699.25,Wells Fargo,"Microsoft\n Store"
$700.25,Bank of America,"Jack in\n the box"
$701.25,Chase,"Mcdon\nalds"
$702.25,Wells Fargo,"Wen\ndys"
$703.25,Bank of America,"Apple\n Store"
$704.25,Chase,"Microsoft\n Store"
$705.25,Wells Fargo,"Jack in\n the box"
$706.25,Bank of America,"Mcdon\nalds"
$707.25,Chase,"Wen\ndys"
$708.25,Wells Fargo,"Apple\n Store"
$709.25,Bank of America,"Microsoft\n Store"
$710.25,Chase,"Jack in\n the box"
$711.25,Wells Fargo,"Mcdon\nalds"
$712.25,Bank of America,"Wen\ndys"
$713.25,Chase,"Apple\n Store"
$714.25,Wells Fargo,"Microsoft\n Store"
$715.25,Bank of America,"Jack in\n the box"
$716.25,Chase,"Mcdon\nalds"
$717.25,Wells Fargo,"Wen\ndys"
$718.25,Bank of America,"Apple\n Store"
$719.25,Chase,"Microsoft\n Store"
$720.25,Wells Fargo,"Jack in\n the box"
$721.25,Bank of America,"Mcdon\nalds"
$722.25,Chase,"Wen\ndys"
$723.25,Wells Fargo,"Apple\n Store"
$724.25,Bank of America,"Microsoft\n Store"
$725.25,Chase,"Jack in\n the box"
$726.25,Wells Fargo,"Mcdon\nalds"
$727.25,Bank of America,"Wen\ndys"
$728.25,Chase,"Apple\n Store"
$729.25,Wells Fargo,"Microsoft\n Store"
$730.25,Bank of America,"Jack in\n the box"
$731.25,Chase,"Mcdon\nalds"
$732.25,Wells Fargo,"Wen\ndys"
$733.25,Bank of America,"Apple\n Store"
$734.25,Chase,"Microsoft\n Store"
$735.25,Wells Fargo,"Jack in\n the box"
$736.25,Bank of America,"Mcdon\nalds"
$737.25,Chase,"Wen\ndys"
$738.25,Wells Fargo,"Apple\n Store"
$739.25,Bank of America,"Microsoft\n Store"
$740.25,Chase,"Jack in\n the box"
$741.25,Wells Fargo,"Mcdon\nalds"
$742.25,Bank of America,"Wen\ndys"
$743.25,Chase,"Apple\n Store"
$744.25,Wells Fargo,"Microsoft\n Store"
$745.25,Bank of America,"Jack in\n the box"
$746.25,Chase,"Mcdon\nalds"
$747.25,Wells Fargo,"Wen\ndys"
$748.25,Bank of America,"Apple\n Store"
$749.25,Chase,"Microsoft\n Store"
$750.25,Wells Fargo,"Jack in\n the box"
$751.25,Bank of America,"Mcdon\nalds"
$752.25,Chase,"Wen\ndys"
$753.25,Wells Fargo,"Apple\n Store"
$754.25,Bank of America,"Microsoft\n Store"
$755.25,Chase,"Jack in\n the box"
$756.25,Wells Fargo,"Mcdon\nalds"
$757.25,Bank of America,"Wen\ndys"
$758.25,Chase,"Apple\n Store"
$759.25,Wells Fargo,"Microsoft\n Store"
$760.25,Bank of America,"Jack in\n the box"
$761.25,Chase,"Mcdon\nalds"
$762.25,Wells Fargo,"Wen\ndys"
$763.25,Bank of America,"Apple\n Store"
$764.25,Chase,"Microsoft\n Store"
$765.25,Wells Fargo,"Jack in\n the box"
$766.25,Bank of America,"Mcdon\nalds"
$767.25,Chase,"Wen\ndys"
$768.25,Wells Fargo,"Apple\n Store"
$769.25,Bank of America,"Microsoft\n Store"
$770.25,Chase,"Jack in\n the box"
$771.25,Wells Fargo,"Mcdon\nalds"
$772.25,Bank of America,"Wen\ndys"
$773.25,Chase,"Apple\n Store"
$774.25,Wells Fargo,"Microsoft\n Store"
$775.25,Bank of America,"Jack in\n the box"
$776.25,Chase,"Mcdon\nalds"
$777.25,Wells Fargo,"Wen\ndys"
$778.25,Bank of America,"Apple\n Store"
$779.25,Chase,"Microsoft\n Store"
$780.25,Wells Fargo,"Jack in\n the box"
$781.25,Bank of America,"Mcdon\nalds"
$782.25,Chase,"Wen\ndys"
$783.25,Wells Fargo,"Apple\n Store"
$784.25,Bank of America,"Microsoft\n Store"
$785.25,Chase,"Jack in\n the box"
$786.25,Wells Fargo,"Mcdon\nalds"
$787.25,Bank of America,"Wen\ndys"
$788.25,Chase,"Apple\n Store"
$789.25,Wells Fargo,"Microsoft\n Store"
$790.25,Bank of America,"Jack in\n the box"
$791.25,Chase,"Mcdon\nalds"
$792.25,Wells Fargo,"Wen\ndys"
$793.25,Bank of America,"Apple\n Store"
$794.25,Chase,"Microsoft\n Store"
$795.25,Wells Fargo,"Jack in\n the box"
$796.25,Bank of America,"Mcdon\nalds"
$797.25,Chase,"Wen\ndys"
$798.25,Wells Fargo,"Apple\n Store"
$799.25,Bank of America,"Microsoft\n Store"
$800.25,Chase,"Jack in\n the box"
$801.25,Wells Fargo,"Mcdon\nalds"
$802.25,Bank of America,"Wen\ndys"
$803.25,Chase,"Apple\n Store"
$804.25,Wells Fargo,"Microsoft\n Store"
$805.25,Bank of America,"Jack in\n the box"
$806.25,Chase,"Mcdon\nalds"
$807.25,Wells Fargo,"Wen\ndys"
$808.25,Bank of America,"Apple\n Store"
$809.25,Chase,"Microsoft\n Store"
$810.25,Wells Fargo,"Jack in\n the box"
$811.25,Bank of America,"Mcdon\nalds"
$812.25,Chase,"Wen\ndys"
$813.25,Wells Fargo,"Apple\n Store"
$814.25,Bank of America,"Microsoft\n Store"
$815.25,Chase,"Jack in\n the box"
$816.25,Wells Fargo,"Mcdon\nalds"
$817.25,Bank of America,"Wen\ndys"
$818.25,Chase,"Apple\n Store"
$819.25,Wells Fargo,"Microsoft\n Store"
$820.25,Bank of America,"Jack in\n the box"
$821.25,Chase,"Mcdon\nalds"
$822.25,Wells Fargo,"Wen\ndys"
$823.25,Bank of America,"Apple\n Store"
$824.25,Chase,"Microsoft\n Store"
$825.25,Wells Fargo,"Jack in\n the box"
$826.25,Bank of America,"Mcdon\nalds"
$827.25,Chase,"Wen\ndys"
$828.25,Wells Fargo,"Apple\n Store"
$829.25,Bank of America,"Microsoft\n Store"
$830.25,Chase,"Jack in\n the box"
$831.25,Wells Fargo,"Mcdon\nalds"
$832.25,Bank of America,"Wen\ndys"
$833.25,Chase,"Apple\n Store"
$834.25,Wells Fargo,"Microsoft\n Store"
$835.25,Bank of America,"Jack in\n the box"
$836.25,Chase,"Mcdon\nalds"
$837.25,Wells Fargo,"Wen\ndys"
$838.25,Bank of America,"Apple\n Store"
$839.25,Chase,"Microsoft\n Store"
$840.25,Wells Fargo,"Jack in\n the box"
$841.25,Bank of America,"Mcdon\nalds"
$842.25,Chase,"Wen\ndys"
$843.25,Wells Fargo,"Apple\n Store"
$844.25,Bank of America,"Microsoft\n Store"
$845.25,Chase,"Jack in\n the box"
$846.25,Wells Fargo,"Mcdon\nalds"
$847.25,Bank of America,"Wen\ndys"
$848.25,Chase,"Apple\n Store"
$849.25,Wells Fargo,"Microsoft\n Store"
$850.25,Bank of America,"Jack in\n the box"
$851.25,Chase,"Mcdon\nalds"
$852.25,Wells Fargo,"Wen\ndys"
$853.25,Bank of America,"Apple\n Store"
$854.25,Chase,"Microsoft\n Store"
$855.25,Wells Fargo,"Jack in\n the box"
$856.25,Bank of America,"Mcdon\nalds"
$857.25,Chase,"Wen\ndys"
$858.25,Wells Fargo,"Apple\n Store"
$859.25,Bank of America,"Microsoft\n Store"
$860.25,Chase,"Jack in\n the box"
$861.25,Wells Fargo,"Mcdon\nalds"
$862.25,Bank of America,"Wen\ndys"
$863.25,Chase,"Apple\n Store"
$864.25,Wells Fargo,"Microsoft\n Store"
$865.25,Bank of America,"Jack in\n the box"
$866.25,Chase,"Mcdon\nalds"
$867.25,Wells Fargo,"Wen\ndys"
$868.25,Bank of America,"Apple\n Store"
$869.25,Chase,"Microsoft\n Store"
$870.25,Wells Fargo,"Jack in\n the box"
$871.25,Bank of America,"Mcdon\nalds"
$872.25,Chase,"Wen\ndys"
$873.25,Wells Fargo,"Apple\n Store"
$874.25,Bank of America,"Microsoft\n Store"
$875.25,Chase,"Jack in\n the box"
$876.25,Wells Fargo,"Mcdon\nalds"
$877.25,Bank of America,"Wen\ndys"
$878.25,Chase,"Apple\n Store"
$879.25,Wells Fargo,"Microsoft\n Store"
$880.25,Bank of America,"Jack in\n the box"
$881.25,Chase,"Mcdon\nalds"
$882.25,Wells Fargo,"Wen\ndys"
$883.25,Bank of America,"Apple\n Store"
$884.25,Chase,"Microsoft\n Store"
$885.25,Wells Fargo,"Jack in\n the box"
$886.25,Bank of America,"Mcdon\nalds"
$887.25,Chase,"Wen\ndys"
$888.25,Wells Fargo,"Apple\n Store"
$889.25,Bank of America,"Microsoft\n Store"
$890.25,Chase,"Jack in\n the box"
$891.25,Wells Fargo,"Mcdon\nalds"
$892.25,Bank of America,"Wen\ndys"
$893.25,Chase,"Apple\n Store"
$894.25,Wells Fargo,"Microsoft\n Store"
$895.25,Bank of America,"Jack in\n the box"
$896.25,Chase,"Mcdon\nalds"
$897.25,Wells Fargo,"Wen\ndys"
$898.25,Bank of America,"Apple\n Store"
$899.25,Chase,"Microsoft\n Store"
$900.25,Wells Fargo,"Jack in\n the box"
$901.25,Bank of America,"Mcdon\nalds"
$902.25,Chase,"Wen\ndys"
$903.25,Wells Fargo,"Apple\n Store"
$904.25,Bank of America,"Microsoft\n Store"
$905.25,Chase,"Jack in\n the box"
$906.25,Wells Fargo,"Mcdon\nalds"
$907.25,Bank of America,"Wen\ndys"
$908.25,Chase,"Apple\n Store"
$909.25,Wells Fargo,"Microsoft\n Store"
$910.25,Bank of America,"Jack in\n the box"
$911.25,Chase,"Mcdon\nalds"
$912.25,Wells Fargo,"Wen\ndys"
$913.25,Bank of America,"Apple\n Store"
$914.25,Chase,"Microsoft\n Store"
$915.25,Wells Fargo,"Jack in\n the box"
$916.25,Bank of America,"Mcdon\nalds"
$917.25,Chase,"Wen\ndys"
$918.25,Wells Fargo,"Apple\n Store"
$919.25,Bank of America,"Microsoft\n Store"
$920.25,Chase,"Jack in\n the box"
$921.25,Wells Fargo,"Mcdon\nalds"
$922.25,Bank of America,"Wen\ndys"
$923.25,Chase,"Apple\n Store"
$924.25,Wells Fargo,"Microsoft\n Store"
$925.25,Bank of America,"Jack in\n the box"
$926.25,Chase,"Mcdon\nalds"
$927.25,Wells Fargo,"Wen\ndys"
$928.25,Bank of America,"Apple\n Store"
$929.25,Chase,"Microsoft\n Store"
$930.25,Wells Fargo,"Jack in\n the box"
$931.25,Bank of America,"Mcdon\nalds"
$932.25,Chase,"Wen\ndys"
$933.25,Wells Fargo,"Apple\n Store"
$934.25,Bank of America,"Microsoft\n Store"
$935.25,Chase,"Jack in\n the box"
$936.25,Wells Fargo,"Mcdon\nalds"
$937.25,Bank of America,"Wen\ndys"
$938.25,Chase,"Apple\n Store"
$939.25,Wells Fargo,"Microsoft\n Store"
$940.25,Bank of America,"Jack in\n the box"
$941.25,Chase,"Mcdon\nalds"
$942.25,Wells Fargo,"Wen\ndys"
$943.25,Bank of America,"Apple\n Store"
$944.25,Chase,"Microsoft\n Store"
$945.25,Wells Fargo,"Jack in\n the box"
$946.25,Bank of America,"Mcdon\nalds"
$947.25,Chase,"Wen\ndys"
$948.25,Wells Fargo,"Apple\n Store"
$949.25,Bank of America,"Microsoft\n Store"
$950.25,Chase,"Jack in\n the box"
$951.25,Wells Fargo,"Mcdon\nalds"
$952.25,Bank of America,"Wen\ndys"
$953.25,Chase,"Apple\n Store"
$954.25,Wells Fargo,"Microsoft\n Store"
$955.25,Bank of America,"Jack in\n the box"
$956.25,Chase,"Mcdon\nalds"
$957.25,Wells Fargo,"Wen\ndys"
$958.25,Bank of America,"Apple\n Store"
$959.25,Chase,"Microsoft\n Store"
$960.25,Wells Fargo,"Jack in\n the box"
$961.25,Bank of America,"Mcdon\nalds"
$962.25,Chase,"Wen\ndys"
$963.25,Wells Fargo,"Apple\n Store"
$964.25,Bank of America,"Microsoft\n Store"
$965.25,Chase,"Jack in\n the box"
$966.25,Wells Fargo,"Mcdon\nalds"
$967.25,Bank of America,"Wen\ndys"
$968.25,Chase,"Apple\n Store"
$969.25,Wells Fargo,"Microsoft\n Store"
$970.25,Bank of America,"Jack in\n the box"
$971.25,Chase,"Mcdon\nalds"
$972.25,Wells Fargo,"Wen\ndys"
$973.25,Bank of America,"Apple\n Store"
$974.25,Chase,"Microsoft\n Store"
$975.25,Wells Fargo,"Jack in\n the box"
$976.25,Bank of America,"Mcdon\nalds"
$977.25,Chase,"Wen\ndys"
$978.25,Wells Fargo,"Apple\n Store"
$979.25,Bank of America,"Microsoft\n Store"
$980.25,Chase,"Jack in\n the box"
$981.25,Wells Fargo,"Mcdon\nalds"
$982.25,Bank of America,"Wen\ndys"
$983.25,Chase,"Apple\n Store"
$984.25,Wells Fargo,"Microsoft\n Store"
$985.25,Bank of America,"Jack in\n the box"
$986.25,Chase,"Mcdon\nalds"
$987.25,Wells Fargo,"Wen\ndys"
$988.25,Bank of America,"Apple\n Store"
$989.25,Chase,"Microsoft\n Store"
$990.25,Wells Fargo,"Jack in\n the box"
$991.25,Bank of America,"Mcdon\nalds"
$992.25,Chase,"Wen\ndys"
$993.25,Wells Fargo,"Apple\n Store"
$994.25,Bank of America,"Microsoft\n Store"
$995.25,Chase,"Jack in\n the box"
$996.25,Wells Fargo,"Mcdon\nalds"
$997.25,Bank of America,"Wen\ndys"
$998.25,Chase,"Apple\n Store"
$999.25,Wells Fargo,"Microsoft\n Store"
$1000.25,Bank of America,"Jack in\n the box"
$1001.25,Chase,"Mcdon\nalds"
$1002.25,Wells Fargo,"Wen\ndys"
$1003.25,Bank of America,"Apple\n Store"
$1004.25,Chase,"Microsoft\n Store"
$1005.25,Wells Fargo,"Jack in\n the box"
$1006.25,Bank of America,"Mcdon\nalds"
$1007.25,Chase,"Wen\ndys"
$1008.25,Wells Fargo,"Apple\n Store"
$1009.25,Bank of America,"Microsoft\n Store"
$1010.25,Chase,"Jack in\n the box"
$1011.25,Wells Fargo,"Mcdon\nalds"
$1012.25,Bank of America,"Wen\ndys"
$1013.25,Chase,"Apple\n Store"
$1014.25,Wells Fargo,"Microsoft\n Store"
$1015.25,Bank of America,"Jack in\n the box"
$1016.25,Chase,"Mcdon\nalds"
$1017.25,Wells Fargo,"Wen\ndys"
$1018.25,Bank of America,"Apple\n Store"
$1019.25,Chase,"Microsoft\n Store"
$1020.25,Wells Fargo,"Jack in\n the box"
$1021.25,Bank of America,"Mcdon\nalds"
$1022.25,Chase,"Wen\ndys"
$1023.25,Wells Fargo,"Apple\n Store"
$1024.25,Bank of America,"Microsoft\n Store"
$1025.25,Chase,"Jack in\n the box"
$1026.25,Wells Fargo,"Mcdon\nalds"
$1027.25,Bank of America,"Wen\ndys"
$1028.25,Chase,"Apple\n Store"
$1029.25,Wells Fargo,"Microsoft\n Store"
$1030.25,Bank of America,"Jack in\n the box"
$1031.25,Chase,"Mcdon\nalds"
$1032.25,Wells Fargo,"Wen\ndys"
$1033.25,Bank of America,"Apple\n Store"
$1034.25,Chase,"Microsoft\n Store"
$1035.25,Wells Fargo,"Jack in\n the box"
$1036.25,Bank of America,"Mcdon\nalds"
$1037.25,Chase,"Wen\ndys"
$1038.25,Wells Fargo,"Apple\n Store"
$1039.25,Bank of America,"Microsoft\n Store"
$1040.25,Chase,"Jack in\n the box"
$1041.25,Wells Fargo,"Mcdon\nalds"
$1042.25,Bank of America,"Wen\ndys"
$1043.25,Chase,"Apple\n Store"
$1044.25,Wells Fargo,"Microsoft\n Store"
$1045.25,Bank of America,"Jack in\n the box"
$1046.25,Chase,"Mcdon\nalds"
$1047.25,Wells Fargo,"Wen\ndys"
$1048.25,Bank of America,"Apple\n Store"
$1049.25,Chase,"Microsoft\n Store"
$1050.25,Wells Fargo,"Jack in\n the box"
$1051.25,Bank of America,"Mcdon\nalds"
$1052.25,Chase,"Wen\ndys"
$1053.25,Wells Fargo,"Apple\n Store"
$1054.25,Bank of America,"Microsoft\n Store"
$1055.25,Chase,"Jack in\n the box"
$1056.25,Wells Fargo,"Mcdon\nalds"
$1057.25,Bank of America,"Wen\ndys"
$1058.25,Chase,"Apple\n Store"
$1059.25,Wells Fargo,"Microsoft\n Store"
$1060.25,Bank of America,"Jack in\n the box"
$1061.25,Chase,"Mcdon\nalds"
$1062.25,Wells Fargo,"Wen\ndys"
$1063.25,Bank of America,"Apple\n Store"
$1064.25,Chase,"Microsoft\n Store"
$1065.25,Wells Fargo,"Jack in\n the box"
$1066.25,Bank of America,"Mcdon\nalds"
$1067.25,Chase,"Wen\ndys"
$1068.25,Wells Fargo,"Apple\n Store"
$1069.25,Bank of America,"Microsoft\n Store"
$1070.25,Chase,"Jack in\n the box"
$1071.25,Wells Fargo,"Mcdon\nalds"
$1072.25,Bank of America,"Wen\ndys"
$1073.25,Chase,"Apple\n Store"
$1074.25,Wells Fargo,"Microsoft\n Store"
$1075.25,Bank of America,"Jack in\n the box"
$1076.25,Chase,"Mcdon\nalds"
$1077.25,Wells Fargo,"Wen\ndys"
$1078.25,Bank of America,"Apple\n Store"
$1079.25,Chase,"Microsoft\n Store"
$1080.25,Wells Fargo,"Jack in\n the box"
$1081.25,Bank of America,"Mcdon\nalds"
$1082.25,Chase,"Wen\ndys"
$1083.25,Wells Fargo,"Apple\n Store"
$1084.25,Bank of America,"Microsoft\n Store"
$1085.25,Chase,"Jack in\n the box"
$1086.25,Wells Fargo,"Mcdon\nalds"
$1087.25,Bank of America,"Wen\ndys"
$1088.25,Chase,"Apple\n Store"
$1089.25,Wells Fargo,"Microsoft\n Store"
$1090.25,Bank of America,"Jack in\n the box"
$1091.25,Chase,"Mcdon\nalds"
$1092.25,Wells Fargo,"Wen\ndys"
$1093.25,Bank of America,"Apple\n Store"
$1094.25,Chase,"Microsoft\n Store"
$1095.25,Wells Fargo,"Jack in\n the box"
$1096.25,Bank of America,"Mcdon\nalds"
$1097.25,Chase,"Wen\ndys"
$1098.25,Wells Fargo,"Apple\n Store"
$1099.25,Bank of America,"Microsoft\n Store"
$1100.25,Chase,"Jack in\n the box"
$1101.25,Wells Fargo,"Mcdon\nalds"
$1102.25,Bank of America,"Wen\ndys"
$1103.25,Chase,"Apple\n Store"
$1104.25,Wells Fargo,"Microsoft\n Store"
$1105.25,Bank of America,"Jack in\n the box"
$1106.25,Chase,"Mcdon\nalds"
$1107.25,Wells Fargo,"Wen\ndys"
$1108.25,Bank of America,"Apple\n Store"
$1109.25,Chase,"Microsoft\n Store"
$1110.25,Wells Fargo,"Jack in\n the box"
$1111.25,Bank of America,"Mcdon\nalds"
$1112.25,Chase,"Wen\ndys"
$1113.25,Wells Fargo,"Apple\n Store"
$1114.25,Bank of America,"Microsoft\n Store"
$1115.25,Chase,"Jack in\n the box"
$1116.25,Wells Fargo,"Mcdon\nalds"
$1117.25,Bank of America,"Wen\ndys"
$1118.25,Chase,"Apple\n Store"
$1119.25,Wells Fargo,"Microsoft\n Store"
$1120.25,Bank of America,"Jack in\n the box"
$1121.25,Chase,"Mcdon\nalds"
$1122.25,Wells Fargo,"Wen\ndys"
$1123.25,Bank of America,"Apple\n Store"
$1124.25,Chase,"Microsoft\n Store"
$1125.25,Wells Fargo,"Jack in\n the box"
$1126.25,Bank of America,"Mcdon\nalds"
$1127.25,Chase,"Wen\ndys"
$1128.25,Wells Fargo,"Apple\n Store"
$1129.25,Bank of America,"Microsoft\n Store"
$1130.25,Chase,"Jack in\n the box"
$1131.25,Wells Fargo,"Mcdon\nalds"
$1132.25,Bank of America,"Wen\ndys"
$1133.25,Chase,"Apple\n Store"
$1134.25,Wells Fargo,"Microsoft\n Store"
$1135.25,Bank of America,"Jack in\n the box"
$1136.25,Chase,"Mcdon\nalds"
$1137.25,Wells Fargo,"Wen\ndys"
$1138.25,Bank of America,"Apple\n Store"
$1139.25,Chase,"Microsoft\n Store"
$1140.25,Wells Fargo,"Jack in\n the box"
$1141.25,Bank of America,"Mcdon\nalds"
$1142.25,Chase,"Wen\ndys"
$1143.25,Wells Fargo,"Apple\n Store"
$1144.25,Bank of America,"Microsoft\n Store"
$1145.25,Chase,"Jack in\n the box"
$1146.25,Wells Fargo,"Mcdon\nalds"
$1147.25,Bank of America,"Wen\ndys"
$1148.25,Chase,"Apple\n Store"
$1149.25,Wells Fargo,"Microsoft\n Store"
$1150.25,Bank of America,"Jack in\n the box"
$1151.25,Chase,"Mcdon\nalds"
$1152.25,Wells Fargo,"Wen\ndys"
$1153.25,Bank of America,"Apple\n Store"
$1154.25,Chase,"Microsoft\n Store"
$1155.25,Wells Fargo,"Jack in\n the box"
$1156.25,Bank of America,"Mcdon\nalds"
$1157.25,Chase,"Wen\ndys"
$1158.25,Wells Fargo,"Apple\n Store"
$1159.25,Bank of America,"Microsoft\n Store"
$1160.25,Chase,"Jack in\n the box"
$1161.25,Wells Fargo,"Mcdon\nalds"
$1162.25,Bank of America,"Wen\ndys"
$1163.25,Chase,"Apple\n Store"
$1164.25,Wells Fargo,"Microsoft\n Store"
$1165.25,Bank of America,"Jack in\n the box"
$1166.25,Chase,"Mcdon\nalds"
$1167.25,Wells Fargo,"Wen\ndys"
$1168.25,Bank of America,"Apple\n Store"
$1169.25,Chase,"Microsoft\n Store"
$1170.25,Wells Fargo,"Jack in\n the box"
$1171.25,Bank of America,"Mcdon\nalds"
$1172.25,Chase,"Wen\ndys"
$1173.25,Wells Fargo,"Apple\n Store"
$1174.25,Bank of America,"Microsoft\n Store"
$1175.25,Chase,"Jack in\n the box"
$1176.25,Wells Fargo,"Mcdon\nalds"
$1177.25,Bank of America,"Wen\ndys"
$1178.25,Chase,"Apple\n Store"
$1179.25,Wells Fargo,"Microsoft\n Store"
$1180.25,Bank of America,"Jack in\n the box"
$1181.25,Chase,"Mcdon\nalds"
$1182.25,Wells Fargo,"Wen\ndys"
$1183.25,Bank of America,"Apple\n Store"
$1184.25,Chase,"Microsoft\n Store"
$1185.25,Wells Fargo,"Jack in\n the box"
$1186.25,Bank of America,"Mcdon\nalds"
$1187.25,Chase,"Wen\ndys"
$1188.25,Wells Fargo,"Apple\n Store"
$1189.25,Bank of America,"Microsoft\n Store"
$1190.25,Chase,"Jack in\n the box"
$1191.25,Wells Fargo,"Mcdon\nalds"
$1192.25,Bank of America,"Wen\ndys"
$1193.25,Chase,"Apple\n Store"
$1194.25,Wells Fargo,"Microsoft\n Store"
$1195.25,Bank of America,"Jack in\n the box"
$1196.25,Chase,"Mcdon\nalds"
$1197.25,Wells Fargo,"Wen\ndys"
$1198.25,Bank of America,"Apple\n Store"
$1199.25,Chase,"Microsoft\n Store"
$1200.25,Wells Fargo,"Jack in\n the box"
$1201.25,Bank of America,"Mcdon\nalds"
$1202.25,Chase,"Wen\ndys"
$1203.25,Wells Fargo,"Apple\n Store"
$1204.25,Bank of America,"Microsoft\n Store"
$1205.25,Chase,"Jack in\n the box"
$1206.25,Wells Fargo,"Mcdon\nalds"
$1207.25,Bank of America,"Wen\ndys"
$1208.25,Chase,"Apple\n Store"
$1209.25,Wells Fargo,"Microsoft\n Store"
$1210.25,Bank of America,"Jack in\n the box"
$1211.25,Chase,"Mcdon\nalds"
$1212.25,Wells Fargo,"Wen\ndys"
$1213.25,Bank of America,"Apple\n Store"
$1214.25,Chase,"Microsoft\n Store"
$1215.25,Wells Fargo,"Jack in\n the box"
$1216.25,Bank of America,"Mcdon\nalds"
$1217.25,Chase,"Wen\ndys"
$1218.25,Wells Fargo,"Apple\n Store"
$1219.25,Bank of America,"Microsoft\n Store"
$1220.25,Chase,"Jack in\n the box"
$1221.25,Wells Fargo,"Mcdon\nalds"
$1222.25,Bank of America,"Wen\ndys"
$1223.25,Chase,"Apple\n Store"
$1224.25,Wells Fargo,"Microsoft\n Store"
$1225.25,Bank of America,"Jack in\n the box"
$1226.25,Chase,"Mcdon\nalds"
$1227.25,Wells Fargo,"Wen\ndys"
$1228.25,Bank of America,"Apple\n Store"
$1229.25,Chase,"Microsoft\n Store"
$1230.25,Wells Fargo,"Jack in\n the box"
$1231.25,Bank of America,"Mcdon\nalds"
$1232.25,Chase,"Wen\ndys"
$1233.25,Wells Fargo,"Apple\n Store"
$1234.25,Bank of America,"Microsoft\n Store"
$1235.25,Chase,"Jack in\n the box"
$1236.25,Wells Fargo,"Mcdon\nalds"
$1237.25,Bank of America,"Wen\ndys"
$1238.25,Chase,"Apple\n Store"
$1239.25,Wells Fargo,"Microsoft\n Store"
$1240.25,Bank of America,"Jack in\n the box"
$1241.25,Chase,"Mcdon\nalds"
$1242.25,Wells Fargo,"Wen\ndys"
$1243.25,Bank of America,"Apple\n Store"
$1244.25,Chase,"Microsoft\n Store"
$1245.25,Wells Fargo,"Jack in\n the box"
$1246.25,Bank of America,"Mcdon\nalds"
$1247.25,Chase,"Wen\ndys"
$1248.25,Wells Fargo,"Apple\n Store"
$1249.25,Bank of America,"Microsoft\n Store"
$1250.25,Chase,"Jack in\n the box"
$1251.25,Wells Fargo,"Mcdon\nalds"
$1252.25,Bank of America,"Wen\ndys"
$1253.25,Chase,"Apple\n Store"
$1254.25,Wells Fargo,"Microsoft\n Store"
$1255.25,Bank of America,"Jack in\n the box"
$1256.25,Chase,"Mcdon\nalds"
